Job Posting ID,Job Posting Date,Job Title,Job Title Full,Job Title Additional Info,Job Position Type,Job Position Level,Years of Experience,Job Skills,Job Location,Minimum Pay,Maximum Pay,Pay Rate,Number of Applicants,Company Name,Company Industry,Company Size,Skills Count
2719108338,2017-01-01,Data Engineer,Senior Azure Data Engineer,,Full-time,Mid-Senior level,2,"data_lake, cloud, python, spark, github, warehousing, t-sql, ci/cd, sql, apache, azure, scala, coding",United States,,,,1.0,Brinks Home,Consumer Electronics,"1,001-5,000 employees",13
2697854773,2017-01-01,Data Engineer,Aws Data Engineer,Remote,Full-time,Mid-Senior level,6,"data_lake, cloud, data_lakes, python, hadoop, devops, spark, iot, aws, pyspark, redshift, etl, sql, nosql, machine_learning","Los Angeles, CA",,,,,ClearScale,Information Technology & Services,51-200 employees,15
2628572485,2017-01-01,Data Analyst,Healthcare Payer Data Analyst,,Full-time,Associate,5,"data_lake, database, python, hadoop, ibm, oracle, microsoft, sql","Charleston, SC",,,,25.0,Perficient,Information Technology & Services,"1,001-5,000 employees",8
2748225724,2017-01-01,Data Engineer,Senior Data Engineer,,Full-time,Mid-Senior level,9,"python, programming, etl, postgresql, linux, sql, nosql, go","Baltimore, MD",,,,5.0,Medix Technology,Information Technology & Services,201-500 employees,8
2681258907,2017-01-02,Business Intelligence Analyst,Jr. Business Intelligence Analyst,,Contract,Mid-Senior level,4,"r, scala, powershell, c++, java, python, tableau, sql, powerbi, c","Raleigh, NC",71000.0,80000.0,hr,100.0,OnDemand Agility Solutions,Information Technology & Services,"1,001-5,000 employees",10
2698913189,2017-01-02,Data Scientist,Data Scientist,,Full-time,Entry level,2,"cloud, power_bi, python, gcp, programming, aws, sql, azure",United States,,,,6.0,Nutrien Ag Solutions,Farming,"10,001+ employees",8
2669926024,2017-01-02,Senior Analyst,"Senior Analyst, Sales Incentive Compensation",,Full-time,Mid-Senior level,5,excel,United States,,,,4.0,Cue Health,Biotechnology,"1,001-5,000 employees",1
2592607638,2017-01-03,Data Analyst,Senior Business Data Analyst,,Full-time,Associate,3,"sap, bi, ibm, saas, github, redshift, tableau, sql, atlassian, powerbi",United States,,,,11.0,Tactivos Inc.,,,10
2690938927,2017-01-04,Data Engineer,Senior Data Engineer,Full-time,Contract,Mid-Senior level,0,"cloud, aws, azure","Athens, GA",,,,,Toptal,Internet,"1,001-5,000 employees",3
2691393633,2017-01-04,Data Scientist,Senior Data Scientist,,Full-time,Associate,1,"cloud, python, hadoop, gcp, spark, aws, machine_learning",United States,,,,16.0,Varo Bank,Banking,"501-1,000 employees",7
2687291186,2017-01-04,Data Analyst,Hr Data Analyst,,Full-time,Associate,4,"microsoft, excel",United States,,,,159.0,Hyland,Computer Software,"1,001-5,000 employees",2
2677491846,2017-01-05,Data Scientist,Data Scientist-Remote,,Full-time,Mid-Senior level,4,"r, python, programming, sql, ai, machine_learning","Portland, OR",,,,5.0,Jobot,Staffing & Recruiting,201-500 employees,6
2640774129,2017-01-05,Senior Analyst,"Senior Analyst, Site Analytics",,Full-time,Associate,2,"database, word, python, bi, r, powerpoint, outlook, tableau, sql, excel",United States,,,,5.0,Merkle,Marketing & Advertising,"5,001-10,000 employees",10
